filename,file_type,religious_group,content,content_length,word_count,chunk_id,chunk_count,has_url_content
Madden and McBride History for CCEA GCSE Chapter 3.docx,textbook,catholic,"Changes O'Neill realised that his economic policies would not change Northern Ireland on their own. There would also have to be social and political modernisation within Northern Ireland and improvements in relations with the Republic of Ireland. However, introducing such changes would increase the chances of division within unionism. The Hand of Friendship: Dublin on 14 January 1965 the first face-to-face meeting of Ireland's main leaders since 1925 took place at Stormont, when O'Neill met with Taoiseach Sean Lemass. That this was the first such meeting in 40 years was an indication of the tensions that had existed between the two parts of the island. (Image – O’Neill meeting Lemass at Stormont, 14 January 1965) speaking later on television, O’Neill defended the meeting by arguing that both systems shared ‘the same rivers, the same mountains and some of the same problems’. He himself visited Dublin four weeks later.",930,148,10,152,False
Madden and McBride History for CCEA GCSE Chapter 3.docx,textbook,catholic,"vers, the same mountains and some of the same problems’. He himself visited Dublin four weeks later. Both meetings focused on areas of Economic Co-operation and did not consider political issues. Discussions also took place between northern and southern ministers on issues such as tourism and electrical link-ups. The Hand of Friendship: Northern Nationalists Within Northern Ireland O'Neill held out the hand of friendship to the nationalist community. His policy took a number of forms: Visiting cardinal William Conway, Archbishop of Armagh and spiritual leader of Ireland’s Catholics; Offering official condolences to the Catholic Church on the death of Pope John XXIII in June 1963; Visiting schools run by the Catholic Church; Increasing the financial support provided for Catholic hospitals and schools. These steps were courageous and were well received by the nationalist community.",892,134,11,152,False
Madden and McBride History for CCEA GCSE Chapter 3.docx,textbook,catholic,"pitals and schools. These steps were courageous and were well received by the nationalist community. However, whether in the end O’Neill’s reforms would go far enough to satisfy nationalists, or indeed too far in the eyes of unionists, remained to be seen. Source A O'Neill's policies were clearly meant to make Catholics feel more a part of the state. However, in the face of opposition from within the Unionist Party it was difficult to make real changes. Therefore, his attempts of anti-sectarianism remained little more than words. Historian Sabine Wichert writing in her book Northern Ireland Since 1945 (Adapted) Questions Name the two Irish leaders who met at Stormont in 1965. Name two actions taken by O'Neill that aimed to improve relations between the communities in Northern Ireland. Construct a spider diagram showing the political policies introduced by O'Neill.",876,139,12,152,False
Madden and McBride History for CCEA GCSE Chapter 3.docx,textbook,catholic,"n Northern Ireland. Construct a spider diagram showing the political policies introduced by O'Neill. What benefits did O’Neill see in holding out the hand of friendship both within Northern Ireland and towards the South? What evidence is there in the text and sources to suggest that O’Neill had no intention of changing the constitutional position of Northern Ireland? (Page 109) Extension activity What does the secrecy surrounding the Lemass visit tell us about Northern Ireland's relationship with the republic? Revision tip O'Neill's meetings with Lemass were more about symbol than substance, yet they were still controversial. Make sure you can explain why this was. Reactions to O’Neill’s Policies, 1963-7 Economic and political policies raised a mixture of fear and expectation within Northern Ireland’s two communities. Unionist Reactions There was both support and opposition within the unionist community for O'Neill's attempts to change Northern Ireland.",967,144,13,152,False
Madden and McBride History for CCEA GCSE Chapter 3.docx,textbook,catholic,"port and opposition within the unionist community for O'Neill's attempts to change Northern Ireland. The mixed reaction was due to the desire of many moderate unionists for reform and the fear among others of the changes that such reform might bring. O’Neill’s support within the rank and file members of the Unionist Party had never been total. Indeed O’Neill did not even inform his own cabinet colleagues of Sean Lemass’s January 1965 visit in advance. This indicated his concerns about their possible reaction and also suggests that the idea for the visit was his alone. Evidence of the divisions within the Unionist Party over the visit was clear when Brian Faulkner condemned O’Neill’s failure to consult his Cabinet. That said, when Lemass’s successor as Taoiseach, Jack Lynch, Visited Northern Ireland in December 1967 the visit was agreed in cabinet, implying that by then such a visit had become much more acceptable to the cabinet.",942,154,14,152,False
Madden and McBride History for CCEA GCSE Chapter 3.docx,textbook,catholic,"greed in cabinet, implying that by then such a visit had become much more acceptable to the cabinet. The Emergence of Rev Ian Paisley While there was no widespread hostile public reaction to the visit, there was strong objection from the Moderator of the Free Presbyterian Church, Rev Ian Paisley. Apart from (Image – Ian Paisley leading a protest march against ecumenism) longstanding Protestant concerns about the influence of the Catholic Church in the Republic, Paisley objected to any links with the South, especially as its constitution laid claim, in Articles II and III, to the whole island of Ireland. Throughout the rest of the decade Paisley's support grew as many unionists came to fear the implications of O'Neill's new policies and to resent the failure of such policies to improve their own lives.",812,134,15,152,False
Madden and McBride History for CCEA GCSE Chapter 3.docx,textbook,catholic,"ons of O'Neill's new policies and to resent the failure of such policies to improve their own lives. In the short term, however, O'Neill was delighted with the success the official Unionist Party (OUP) enjoyed in the November 1965 general election, a result that seemed to suggest that people were satisfied with his policies. Violence and Division Before long, however, the situation in Northern Ireland deteriorated. Tensions increased in 1966 with the commemorations for the 50th anniversaries of the Easter Rising and the Battle of the Somme, and rioting broke out. Yet this was not the worst of the violence: two Catholics died in May and June 1966, the result of a series of gun attacks by the re-emerging UVF. Shortly after, O'Neill banned the organisation. As the situation worsened, O'Neill found that support within his own party was weakening. In September 1966 he revealed a plot by OUP backbenchers to get rid of him as leader.",940,157,16,152,False
Madden and McBride History for CCEA GCSE Chapter 3.docx,textbook,catholic,"was weakening. In September 1966 he revealed a plot by OUP backbenchers to get rid of him as leader. There was also growing rumours about how much support O’Neill had within his own cabinet. In particular there were doubts about the loyalty of colleagues such as his Deputy Prime Minister, Brian Faulkner, and his Agriculture Minister, Harry West. (Page 110) By late 1967, therefore, the levels of O'Neill's support within unionism in general and the OUP in particular were dwindling. The ruling party was clearly divided over policy, while opinion polls indicated increasing support within the unionist population for Paisley's policies. Nationalist Reactions: Satisfaction and Disappointment O'Neill's policies received similarly mixed reactions from the nationalist community. Initial support for his policies soon gave way to frustration, as the better future that seemed to have been promised failed to appear. This annoyance was particularly felt among a new generation of Catholics.",989,150,17,152,False
Madden and McBride History for CCEA GCSE Chapter 3.docx,textbook,catholic,"promised failed to appear. This annoyance was particularly felt among a new generation of Catholics. At first Catholic leaders, political and religious, reacted warmly to O’Neill’s attempts to hold out the hand of friendship. The visit of Lemass to Stormont was followed by the decision of the Nationalist Party to take up the role of official opposition in Stormont for the first time in its history. However, O'Neill's policies also raised expectations, some of which were unlikely to be met given the growing tensions within unionism. There was outrage within nationalist circles at the decision of the Minister of Development, William Craig, to name the new city linking Portadown and Lurgan, Craigavon, after Northern Ireland's first Prime Minister. There were also continued accusations that O'Neill's economic policies favoured the Protestant East at the expense of the Catholic West.",891,138,18,152,False
Madden and McBride History for CCEA GCSE Chapter 3.docx,textbook,catholic,"s that O'Neill's economic policies favoured the Protestant East at the expense of the Catholic West. As evidence of this, a number of points were made: With the exception of Derry/Londonderry, all the places earmarked for economic development were in Protestant areas; Unemployment was at a higher level West of the Bann; Northern Ireland's second university was sited in the mainly Protestant town of Coleraine rather than in the mainly nationalist Derry/Londonderry, Northern Ireland's second city. This decision came despite significant cross-community protest from the city; No significant attempts were made to increase Catholic membership of various health and education bodies. This fact alone led the pro-O’Neill Belfast Telegraph to argue that a ‘nonsense’ was being made of attempts at bridge building. The truth of this assessment seemed to be borne out with the foundation of the Civil Rights movement in 1967.",922,142,19,152,False
Madden and McBride History for CCEA GCSE Chapter 3.docx,textbook,catholic,"of this assessment seemed to be borne out with the foundation of the Civil Rights movement in 1967. Source A Half the insecurity of the majority [unionist] position stemmed from the basic anxieties which haunt a potential minority. ATQ Stewart explains in The Narrow Ground why unionists felt so insecure at the implications of the changing political situation (adapted) Source B Catholics could not be convinced that Craigavon and Coleraine were anything but sectarian decisions, designed to deprive the mainly Catholic West from ever catching up with the mainly Protestant East. Irish historian Professor J J Lee, writing in Ireland 1912-1985: Politics and Society (Adapted) (Page 111) Questions Give one reason why some unionists were unhappy with O'Neill's policies. Give two reasons why not all nationalists were happy with O'Neill's policies.",848,131,20,152,False
Madden and McBride History for CCEA GCSE Chapter 3.docx,textbook,catholic,th O'Neill's policies. Give two reasons why not all nationalists were happy with O'Neill's policies. Explain how and why the following groups differed and their initial reaction to O’Neill’s policies: Moderate unionists; Official unionist MPs; Supporters of Rev Ian Paisley. How had the unionist reaction to O'Neill's policies changed by 1967? How did nationalists initially react to O'Neill's policies? Why did this initial nationalist reaction to O’Neill’s policies change as time went on? Construct a table as below: political successes/political failures Using all the information on pages 108-110 fill in the table as appropriate. Now look at your results; would you say that O’Neill’s political policies were a success or a failure? Provide evidence to support your answer. Construct a table as below: O'Neill's policies/ unionist reaction/ nationalist reaction Using all the information on pages 106-110 fill in the table as appropriate.,944,142,21,152,False
Madden and McBride History for CCEA GCSE Chapter 3.docx,textbook,catholic,"n/ nationalist reaction Using all the information on pages 106-110 fill in the table as appropriate. Now look at your results; which of O’Neill’s economic and political policies would have been: Most popular Least popular With each community? Why was this? Provide evidence to support your answer. Extension activities Were O'Neill's policies bringing about genuine change in Northern Ireland? Would it ever have been possible for O’Neill to satisfy both sides in Northern Ireland with his policies? Revision Tip O'Neill never had the total loyalty of his party. Make sure you can explain how this would have weakened his position as Prime Minister. (Page 112) Unit 2 : Civil Rights to Armalites: Northern Ireland, 1967-9 The Establishment of NICRA NICRA and the American Influence The Northern Ireland Civil Rights Association (NICRA) was established at the start of 1967. Two of its main founding members were Ivan Cooper and John Hume.",938,150,22,152,False
Madden and McBride History for CCEA GCSE Chapter 3.docx,textbook,catholic,"s established at the start of 1967. Two of its main founding members were Ivan Cooper and John Hume. There can be little doubt that NICRA took much of its inspiration from the United States. Another of its founder members, Paddy Devlin, later wrote that NICRA was 'inspired by the civil rights campaign to get justice and equality for blacks in the USA'. At the same time there were other sources of encouragement, notably the student demonstrations that had taken place in France the same year. (Image – Crowd scene from a NICRA march in Derry/Londonderry) It was not difficult to see why the American movement would have appeared attractive to reformers in Northern Ireland. Martin Luther King's campaign had employed non-violent methods of civil disobedience in an effort to achieve equal opportunities for blacks. By 1967 a series of marches and protests had led the US Congress to pass laws outlawing public discrimination and guaranteeing voting rights.",959,158,23,152,False
Madden and McBride History for CCEA GCSE Chapter 3.docx,textbook,catholic,"had led the US Congress to pass laws outlawing public discrimination and guaranteeing voting rights. These developments were widely reported in Europe. NICRA’s Aims Set up as a non-sectarian movement, NICRA did not seek to end partition; rather it hoped to end what it saw as a number of serious abuses in the existing political system. In particular it sought to: Achieve one-man one vote. This would allow a vote to all people over the age of 18. It would also remove the right of business owners to cast multiple votes. Ensure the fair allocation of council houses. At this time the possession of a vote in council elections depended upon being a ratepayer - basically a householder. The fewer the number of Catholics who possessed a property, the fewer the number of Catholics who could vote. End gerrymandering, which was the practice of drawing electoral boundaries in a way that would serve to benefit one community over the other.",938,160,24,152,False
Madden and McBride History for CCEA GCSE Chapter 3.docx,textbook,catholic,"e of drawing electoral boundaries in a way that would serve to benefit one community over the other. Perhaps the most infamous example of the practice was in the city of Derry /Londonderry where the unionist-dominated council ruled over a Catholic population of 20,102 compared with a Protestant population of 10,274 (1966 figures from the Report of the Cameron Commission set up by O'Neill' s government to investigate the disturbances of 1968). Prevent discrimination in the allocation of government jobs. The Cameron Commission found widespread evidence of favouritism towards Protestants in the allocation of jobs. There was similar evidence of underrepresentation of Catholics in other areas of government employment, including the senior civil service and the judiciary. Remove the operation of the Special Powers Act.",824,125,25,152,False
Madden and McBride History for CCEA GCSE Chapter 3.docx,textbook,catholic,"ncluding the senior civil service and the judiciary. Remove the operation of the Special Powers Act. Officially known as the Civil Authorities (Special Powers) Act, 1922, this law allowed the government to arrest and detain people without holding a trial to see if they were guilty or not. Disband the B Specials. This group was the sole remnant of the three-pronged Ulster Special Constabulary, which had been established in September 1920 to help fight the IRA during the War of Independence. Establish a formal complaints procedure against local authorities to report breaches in the above areas. (Page 113) Support and Reaction Support for NICRA came from across the community. In particular it came from a new generation of Catholics, the first to have benefited from the introduction of free education in the late 1940s. These Catholics had seen the growing self-confidence of Catholics elsewhere, not least in the US where John F Kennedy had been elected President in 1960.",980,159,26,152,False
Madden and McBride History for CCEA GCSE Chapter 3.docx,textbook,catholic,"of Catholics elsewhere, not least in the US where John F Kennedy had been elected President in 1960. They were also less than happy with the performance of their own Nationalist Party, led by Eddie McAteer, whose only policy seemed to be the ending of partition. However, support for NICRA also came from other groups, including liberal Protestants who sympathised with some of NICRA's demands, communists, academics and trade unionists. At the same time there was much suspicion about the emerging movement from within the unionist population. Some felt that the movement was nothing more than a front for the IRA, while others believed that it was only interested in Catholic rights. Source A A generation of Catholics brought up on the welfare state, educated to a higher standard than ever before, began to emerge from the late fifties ... relatively well-educated Catholics felt increasingly bitter at what they believed to be discrimination.",947,153,27,152,False
Madden and McBride History for CCEA GCSE Chapter 3.docx,textbook,catholic,"atively well-educated Catholics felt increasingly bitter at what they believed to be discrimination. Irish historian Professor J J Lee, writing in Ireland 1912-1985: Politics and Society (Adapted) Source B It was all the Catholics this, the Catholics that, living in poverty and us lording it over them. People looked around and said 'What, are they talking about us? With the damp running down the walls and the houses not fit to live in'. A Shankill housewife's view of NICRA Questions Explain where NICRA borrowed some of its tactics and ideas from. Name two of the groups of people who supported the aims of NICRA. What evidence is there to suggest that NICRA was influenced by events in other countries? Why in particular might NICRA have taken inspiration from the civil rights movement in the USA? Construct a spider diagram showing NICRA's main demands. Explain why a new generation of Catholics was emerging at this time and why it was unhappy with its current political leadership.",991,165,28,152,False
Madden and McBride History for CCEA GCSE Chapter 3.docx,textbook,catholic,of Catholics was emerging at this time and why it was unhappy with its current political leadership. Why did many unionists react negatively to NICRA? Was this a reasonable interpretation? Explain your answer. Extension Activity Were NICRA’s demands justifiable? Revision Tip Many unionists saw NICRA as a front for republicans. Make sure that you are able to explain how this would have had an impact on unionist attitudes to their demands. (Page 114) NICRA’s Tactics and O’Neill’s Response Marching for Houses The US civil rights movement's tactic of organising peaceful marches to highlight its campaign was first used in Northern Ireland on 24 August 1968. The occasion was a march between the County Tyrone towns of Coalisland and Dungannon. This demonstration took place because of the decision of the Dungannon rural district council to give a council house in the village of Caledon to a 19-year old single Protestant woman.,932,150,29,152,False
Madden and McBride History for CCEA GCSE Chapter 3.docx,textbook,catholic,"council to give a council house in the village of Caledon to a 19-year old single Protestant woman. In response to this decision Austin Currie, Nationalist MP for East Tyrone, squatted in the house. After he was evicted Currie suggested holding a protest march to highlight the situation. Although the demonstration was prevented by the police from reaching its intended destination of Dungannon town square, an alternative rally was organised at the police barricade and the event passed off without incident. Violence in Derry/Londonderry House allocation was also the issue that led to NICRA's second march. In order to highlight what were seen to be inequalities in Londonderry Corporation's housing policy, a march was organised for 5 October 1968. The march was due to travel from the Waterside to the city centre via the Craigavon Bridge. In response the Apprentice Boys threatened to hold a rival march.",911,147,30,152,False
Madden and McBride History for CCEA GCSE Chapter 3.docx,textbook,catholic,"y centre via the Craigavon Bridge. In response the Apprentice Boys threatened to hold a rival march. The Stormont Government responded by banning the holding of any march east of the River Foyle or within the historic city walls. The NICRA march' s organisers rejected this ban. Although the crowd that turned up on 5 October was relatively small, it was accompanied by powerful allies in the shape of four Westminster MPs and, even more importantly, an RTE camera crew. That night television pictures beamed across the world showed more clearly than any words the heavy-handed tactics used by the police to break up the rally. It became clear to many on that night that Northern Ireland was on the verge of a crisis that would prove difficult to resolve (Source A). (Image – The RUC begin to break up the NICRA march, 5 October 1968) The Five Point Reform Programme The situation got worse with further NICRA marches and loyalist counter-demonstrations.",954,162,31,152,False
Madden and McBride History for CCEA GCSE Chapter 3.docx,textbook,catholic,"rm Programme The situation got worse with further NICRA marches and loyalist counter-demonstrations. As a result O'Neill, Faulkner and Craig were summoned to Westminster on 4 November to meet with the British Labour Prime Minister, Harold Wilson. The outcome of this meeting was the announcement, on 22 November, of a reform programme. The programme included five main proposals, all of which were to be in place by the end of 1971. The proposals were: The allocation of council housing on a points system; The replacement of Londonderry Corporation by a Development Commission; The removal of certain parts of the Special Powers Act; Reforms within local government, including the ending of extra votes for business owners; The appointment of an ombudsman to investigate complaints. Calm Before the Storm? Although O'Neill himself later dismissed this package as too timid, at the time it seemed to point the way towards a better future, even if it failed to deliver all of NICRA' s demands.",992,161,32,152,False
Madden and McBride History for CCEA GCSE Chapter 3.docx,textbook,catholic,"emed to point the way towards a better future, even if it failed to deliver all of NICRA' s demands. However, in the short-term, protests and (Page 115) counter-protests continued and so, on 9 December, O'Neill appeared on television to hammer home to people the starkness of the position Northern Ireland now found itself in Source B). In particular he appealed to NICRA's leaders to help to restore calm to the province. At first his message seemed to have the desired effect and all further street protests were called off. However, the breathing space O'Neill had won would prove to be very short-lived. While he might have managed to calm the civil rights movement, the reforms had caused dismay among the unionist community, who now felt that their position was under threat.",781,132,33,152,False
Madden and McBride History for CCEA GCSE Chapter 3.docx,textbook,catholic,"s had caused dismay among the unionist community, who now felt that their position was under threat. Moreover O'Neill faced further opposition from within his own party with Home Affairs Minister William Craig condemning O'Neill' s television speech and arguing that the Prime Minister was acting under pressure from the British. Craig was sacked, but even more opposition was appearing on the horizon. Source A The whole affair was a series of blunders. The violence resulted from inadequate planning and leadership by the organisers of the march, and from stupidity and breakdown of control on the part of the authorities. But the greater share of the blame lies with those who had the greater power - the Minister of Home Affairs and the Royal Ulster Constabulary.",767,126,34,152,False
Madden and McBride History for CCEA GCSE Chapter 3.docx,textbook,catholic,"th those who had the greater power - the Minister of Home Affairs and the Royal Ulster Constabulary. Extract from an article in the October 1988 edition of current affairs magazine Fortnight commenting on the NICRA march of 30 years earlier Source B [The Five Point Reform Programme] represented a very considerable advance on anything that had previously been offered, but because some of them were intended to be spread over several years, and particularly because [they] did not include the immediate grant of 'one man one vote' the tensions in the province remained unabated. Professor FSL Lyons writing in Ireland since the Famine (1973) Source C Ulster stands at the crossroads … our conduct over the coming days and weeks will decide our future … I have made it clear that a Northern Ireland based on the interests of any one section rather than upon the interests of all could have no long-term future … What kind of Ulster do you want? A happy and respected province in good standing with th",1000,173,35,152,False
Madden and McBride History for CCEA GCSE Chapter 3.docx,textbook,catholic,"rm future … What kind of Ulster do you want? A happy and respected province in good standing with the rest of the United Kingdom? Or a place continually torn apart by riots and demonstrations and regarded by the rest of Britain as a political outcast? Terrence O’Neill broadcasting on television on 9 December 1968 Questions Which issue led NICRA to hold its first two marches? How did the Northern Ireland Government react to the events of 5 October 1968? Explain why the issue of housing was so prominent in the earliest NICRA marches. If the Derry/Londonderry march was illegal, why was it that the authorities came out of the events of 5 October worst? Draw up a table as follows: NICRA demands/ Five Point Reform Programme On the left-hand side list NICRA's demands (see page 112). On the right-hand side match O'Neill's reforms with the appropriate demand. Which of NICRA's demands had not been granted? O'Neill later dismissed his Five Point Reform Package as too timid.",977,167,36,152,False
Madden and McBride History for CCEA GCSE Chapter 3.docx,textbook,catholic,"'s demands had not been granted? O'Neill later dismissed his Five Point Reform Package as too timid. Explain why others may not have agreed with him at the time. (Page 116) Extension Activities Which had the more significant impact on Northern Ireland politics, NICRA or television? Why were all of NICRA’s demands not granted at the time of the Five Point Reform Programme? Revision Tip O’Neill thought the Five Point Reform Programme was not enough. Many nationalists would have agreed, but many unionists would have believed that they were too much. Are you able to explain why these reforms led to such different reactions? The People’s Democracy March A More Radical Movement Emerges Although NICRA had called for a halt to its campaign of marching its decision was ignored by the recently formed People's Democracy. This group, made up mainly of university students, had emerged out of students' anger at the violence NICRA had faced in October 1968.",956,158,37,152,False
Madden and McBride History for CCEA GCSE Chapter 3.docx,textbook,catholic,"ersity students, had emerged out of students' anger at the violence NICRA had faced in October 1968. People's Democracy had developed demands broadly similar to those of NICRA, namely: One man, one vote; Fair boundaries; Houses on need; Jobs on merit; Free speech; Repeal of the Special Powers Act; Unhappy with the limited nature of O'Neill' s Five Point Reform Programme, People's Democracy announced that they were holding a march between Belfast and Derry /Londonderry, from 1 to 4 January 1969. The march was condemned by NICRA and nationalist leaders, who feared its impact on an already tense situation. Ambush at Burntollet The condemnations were ignored and the demonstration began on schedule. Much of the march was to go through Protestant areas, forcing the police to enforce different routes to avoid confrontation.",828,132,38,152,False
Madden and McBride History for CCEA GCSE Chapter 3.docx,textbook,catholic,"go through Protestant areas, forcing the police to enforce different routes to avoid confrontation. However, on the third day confrontation took place: the marchers were the target of a violent ambush at Burntollet Bridge, an attack that the police seemed to do little to deflect. Later on the same night tensions were further raised in Derry /Londonderry when police were present in nationalist areas of the city. Such events did little to endear the RUC to members of the nationalist community. (Image – People’s Democracy marches come under attack at Burntollet, 4 January 1969) Source A The march would be the acid test of the government's intentions. Either [it] would face up to the extreme right of its own Unionist Party and protect the march ... or it would be exposed as impotent in the face of sectarian thuggery, and Westminster would be forced to intervene, re-opening the whole Irish question for the first time in 50 years.",938,158,39,152,False
